Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
296-9226-1-ND,TEXAS INSTRUMENTS (VA),CD74HC4067SM96,,1,0,0,6 Weeks,IC MUX/DEMUX 1X16 24SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
311-1343-1-ND,YAGEO (VA),CC0603ZRY5V9BB104,,1,0,0,19 Weeks,CAP CER 0.1UF 50V Y5V 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
311-10KGRCT-ND,YAGEO (VA),RC0603JR-0710KL,,3,0,0,22 Weeks,RES SMD 10K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
P237KDACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERA-6AEB2373V,,1,0,0,8 Weeks,RES SMD 237K OHM 0.1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
311-2.7KGRCT-ND,YAGEO (VA),RC0603JR-072K7L,,2,0,0,22 Weeks,RES SMD 2.7K OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
160-1446-1-ND,LITE-ON INC (VA),LTST-C191KGKT,,2,0,0,10 Weeks,LED GREEN CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
S7039-ND,SULLINS CONNECTOR SOLUTIONS,PPPC061LFBN-RC,,1,0,0,4 Weeks,CONN HEADER FEMALE 6POS .1" GOLD,,RoHS Compliant,Lead free,Unaffected Dec-2014
S7008-ND,SULLINS CONNECTOR SOLUTIONS,PPTC101LFBN-RC,,2,0,0,4 Weeks,CONN HEADER FEMALE 10POS.1" TIN,,RoHS Compliant,Lead free,Unaffected Dec-2014
S7000-ND,SULLINS CONNECTOR SOLUTIONS,PPTC021LFBN-RC,,4,0,0,4 Weeks,CONN HEADER FEMALE 2POS .1" TIN,,RoHS Compliant,Lead free,Unaffected Dec-2014
CP-035DH-ND,CUI INC,PJ-035DH,,1,0,0,10 Weeks,CON PWR JCK 1.3 X 3.8MM HIGH CUR,,RoHS Compliant,Lead free,Not Available
